Dia,Mes,Anno,T Min,Promedio,T Max
1,1,2018,8,14,19
2,1,2018,6,13,20
3,1,2018,8,15,21
4,1,2018,6,13,20
5,1,2018,10,16,21
6,1,2018,7,14,20
7,1,2018,6,14,22
8,1,2018,8,14,21
9,1,2018,2,12,22
10,1,2018,5,14,24
11,1,2018,7,15,23
12,1,2018,8,15,22
13,1,2018,5,13,21
14,1,2018,-1,8,18
15,1,2018,0,10,20
16,1,2018,3,12,20
17,1,2018,4,11,20
18,1,2018,4,11,19
19,1,2018,5,13,21
20,1,2018,5,13,22
21,1,2018,7,15,23
22,1,2018,9,17,25
23,1,2018,7,14,22
24,1,2018,9,14,20
25,1,2018,8,12,19
26,1,2018,6,12,19
27,1,2018,7,14,21
28,1,2018,9,13,18
29,1,2018,10,11,14
30,1,2018,3,8,19
31,1,2018,4,11,21
1,2,2018,7,15,24
2,2,2018,9,17,24
3,2,2018,8,16,24
4,2,2018,9,17,24
5,2,2018,11,18,25
6,2,2018,11,18,24
7,2,2018,9,17,23
8,2,2018,11,16,20
9,2,2018,8,14,20
10,2,2018,9,14,20
11,2,2018,11,17,22
12,2,2018,11,17,23
13,2,2018,8,15,23
14,2,2018,9,17,24
15,2,2018,10,17,24
16,2,2018,8,17,25
17,2,2018,10,18,26
18,2,2018,8,16,24
19,2,2018,13,18,23
20,2,2018,14,18,23
21,2,2018,10,17,24
22,2,2018,10,18,24
23,2,2018,10,18,24
24,2,2018,11,18,25
25,2,2018,11,18,25
26,2,2018,14,19,25
27,2,2018,13,18,26
28,2,2018,13,20,26
1,3,2018,12,20,26
2,3,2018,13,18,25
3,3,2018,8,18,27
4,3,2018,10,19,29
5,3,2018,11,19,28
6,3,2018,13,19,26
7,3,2018,13,17,22
8,3,2018,9,16,25
9,3,2018,13,20,26
10,3,2018,11,19,28
11,3,2018,12,21,29
12,3,2018,13,20,27
13,3,2018,10,19,27
14,3,2018,11,19,25
15,3,2018,13,19,25
16,3,2018,11,18,25
17,3,2018,14,20,26
18,3,2018,13,20,26
19,3,2018,14,21,28
20,3,2018,14,21,27
21,3,2018,12,19,27
22,3,2018,12,19,25
23,3,2018,10,19,27
24,3,2018,11,20,28
25,3,2018,10,20,29
26,3,2018,12,21,28
27,3,2018,15,22,28
28,3,2018,15,21,28
29,3,2018,14,20,26
30,3,2018,11,18,24
31,3,2018,8,16,23
1,4,2018,9,19,26
2,4,2018,13,20,26
3,4,2018,17,22,27
4,4,2018,14,20,27
5,4,2018,13,19,25
6,4,2018,14,18,23
7,4,2018,12,17,24
8,4,2018,13,20,26
9,4,2018,17,21,27
10,4,2018,11,17,23
11,4,2018,10,16,23
12,4,2018,14,19,24
13,4,2018,14,19,25
14,4,2018,14,20,26
15,4,2018,10,18,25
16,4,2018,10,18,26
17,4,2018,14,21,26
18,4,2018,13,21,27
19,4,2018,13,20,27
20,4,2018,12,19,27
21,4,2018,14,21,28
22,4,2018,14,21,27
23,4,2018,14,19,26
24,4,2018,15,19,24
25,4,2018,14,18,24
26,4,2018,13,20,26
27,4,2018,15,19,26
28,4,2018,13,19,25
29,4,2018,13,20,27
30,4,2018,15,19,25
1,5,2018,14,19,26
2,5,2018,14,18,24
3,5,2018,14,21,27
4,5,2018,14,19,27
5,5,2018,14,18,24
6,5,2018,13,17,24
7,5,2018,14,17,22
8,5,2018,14,16,21
9,5,2018,12,17,23
10,5,2018,12,18,24
11,5,2018,13,18,25
12,5,2018,16,21,27
13,5,2018,14,20,27
14,5,2018,14,21,27
15,5,2018,14,21,28
16,5,2018,13,21,28
17,5,2018,14,21,28
18,5,2018,14,22,29
19,5,2018,11,22,29
20,5,2018,16,20,29
21,5,2018,14,19,26
22,5,2018,13,21,28
23,5,2018,14,19,27
24,5,2018,13,21,28
25,5,2018,12,20,26
26,5,2018,12,20,27
27,5,2018,12,21,29
28,5,2018,14,22,30
29,5,2018,14,23,31
30,5,2018,14,24,32
31,5,2018,15,24,32
1,6,2018,13,22,29
2,6,2018,16,21,27
3,6,2018,15,21,26
4,6,2018,13,20,28
5,6,2018,13,20,28
6,6,2018,15,22,28
7,6,2018,16,21,27
8,6,2018,15,21,27
9,6,2018,16,19,24
10,6,2018,14,19,26
11,6,2018,16,21,26
12,6,2018,16,18,23
13,6,2018,14,16,21
14,6,2018,14,16,21
15,6,2018,14,17,22
16,6,2018,15,18,24
17,6,2018,15,19,24
18,6,2018,14,17,20
19,6,2018,14,18,23
20,6,2018,16,18,22
21,6,2018,16,18,22
22,6,2018,14,18,24
23,6,2018,14,19,24
24,6,2018,14,17,23
25,6,2018,15,18,22
26,6,2018,15,18,24
27,6,2018,15,18,23
28,6,2018,14,18,24
29,6,2018,14,18,24
30,6,2018,12,18,24
1,7,2018,14,19,25
2,7,2018,14,20,25
3,7,2018,14,19,23
4,7,2018,13,18,24
5,7,2018,15,19,24
6,7,2018,13,17,22
7,7,2018,13,18,23
8,7,2018,14,18,23
9,7,2018,13,17,24
10,7,2018,12,16,22
